,date,review,rating,isEdited,userName,title,developerResponse
0,2022-01-01 03:18:36,"This game is amazing. I’m finally able to play it after 5 years it due to getting a new iPad, since the last one didn’t support the required version of the game. 1 star ratings are more and more common for the reviews of this app due to it “being pay to win” and stuff like that, which is just overreacting. This game is a little more or a grind than other Angry Birds games, which is completely fine. People don’t realize that Rovio needs to make money off of the game, and proceed to say it is bad for that reason. Don’t take their word, and know this is a game you won’t regret downloading. This game isn’t perfect, like all others, having small bugs like certain power ups not working (like the golden ducks), but other than that, there’s really nothing wrong with this game. And if any other people reading this are about to make a 1 star review that all of the Angry Birds games are gone, and it’s Rovio’s fault, don’t and just be patient. 

 Also, I’m sorry if all of these thoughts are jumbled up, I tried to simplify things and I didn’t read it over because I’m lazy, so it might not make sense.",5,False,Goobdawoob100,Genuinely Fun,
1,2020-12-20 04:11:01,"Who created this game? So many problems I have compared that weren’t present in the original. First of all, the heart system is absolutely awful, this game gets hard in the later levels, so having to wait twenty minutes after failing a few times for just one more chance before waiting another twenty minutes is just atrocious. Also why is there clans in this game? Literally no reason to have clans in this type of game. It’s very clear they were just added because people like online features in games. My biggest gripe is with the way the levels go. You have your cards randomized at the start of each level, which is pretty annoying but I would let go if not for the fact that there are several different randomized layouts for the same section on the same level. It makes it so you can’t learn the ins and outs of a certain section, because it could be different every time, this combined with the randomized cards at the start can make some levels over before they even begin which is completely out of your control. I also hate how the birds feel a lot weaker compared to how they felt in the first one, blue birds in this game is complexity useless, and yellow birds aren’t much better. The only birds who are truly good are the bomb bird and the big red bird. The gameplay at its core is still fun like the original, but is plagued by all the issues this game has.",2,False,Jag11243,"Fun, but a lot of downgrades from the original",
2,2022-04-16 21:46:49,"I don’t know if this is a major studio doing a cash grab or just the state of mobile gaming, but either way it’s disappointing. Rovio recently re-released the first Angry Birds game under their new “classics” line for the original price of a dollar, and I had an insane amount of fun with that- it was easy to see why the game became a hit in the first place. Since all the other angry birds games have been pulled from the app store, I figured this one is next to try. What a complete 180!

This game is nothing but a monetized, ad-riddled mess. There are a few interesting twists, like picking the order you throw the birds and getting bonus birds for good scores, but everything else seems designed to strip away strategy and push micro transactions. I can’t even play two levels in a row without the game giving me an ad or trying to sell me some of the half dozen currencies that will make my birds stronger or let me buy hats or lord knows what else. 

I’m uninstalling after less than a couple hours. I don’t see what the fun in playing a game that so desperately wants to milk your for money can be. The original Angry Birds was an amazing venture into looking at what kinds of games can be designed for a mobile device to play easily in quick bursts. This game (and I struggle to even call it that) is nothing but a sad reflection on what could have been a decade later.",2,False,teknobarf,Sad state of the “mobile game” industry,
3,2021-04-26 05:36:39,"This game is bad on so many levels, so here’s all of them. Starting off this game is ‘freemium’ which means that ads play after almost every level and there’s optional rewards/other incentives for watching them, which wouldn’t be so bad if the original was nothing like that. Two, it promotes gambling with loot boxes and an actual casino mini game that is essentially all or nothing, something that was also absent from most of the previous games. Thirdly, they are almost certainly stealing your data. Four, the game size is absolutely ridiculous with how much space updates can take up. Five, the heart system where if you fail a level you lose on of six hearts and when you’re all out you can’t play unless you watch an ad or wait 30 minutes. Last, but certainly no least, the levels are randomized as the structures you are meant to destroy can be completely different even when you replay the exact same level. In other games in the series each and every level is unique, but in this one they were too lazy so they decided to just randomize it. I loved the original and several of the other games as well, and I spent hours playing them, but this is just sad. If you want a good game, then buy the original. It is leagues better than this money grab. It actually has care put into it. And maybe if you download that game instead Rovio and the dev team will start making good games again.",1,False,The Roshar,Very Bad,
4,2022-03-08 19:08:20,"The game itself is mostly fun (a bit frustrating when stuck but not enough to make it unplayable). Progression can be done without pay to play but would be faster if you’re willing to pay.
I’d probably give it at least 4 stars if not five, if it weren’t for the glitches combined with poor customer support. Some of the glitches can actually be fun, like when a tower starts to fall before you fire, or more rarely when a bird manages to fly to the next level from the previous one. The more annoying glitches can be quite frustrating, such as birds firing before you release, scores not being recorded in competitions, and not getting rewards after watching a video. To a degree, so glitches are expected and what can make or break a game is the customers support, which is the biggest fault I’ve found in the game. I had a support ticket closed with a reply or reason, which is fairly rude. I had another support ticket in which the customer service rep replied telling me it’s a connection problem on my end and a lot of people are currently experiencing them. I tried to explain to the rep that I had connection with the server and supplied what I thought was decent evidence. He never replied, the glitch, specifically in the great eagle trading camp continued to happen. After a week of being ignored, I deleted the game. Hope this helps",2,False,ashadowdeep,"Fun game, glitchy",
5,2021-12-30 03:22:40,"This is a good game, don’t get me wrong, but it has more bad things than good. I’ve loved angry birds since I was a baby, but this one just isn’t my favorite. First of all, and this might be a common opinion, but there are SO many ads. Occasionally, they’ll take you straight to the App Store even if you don’t tap it, and that is so agitating. Another thing is randomizing the bird cards at the beginning of each level, and in some cases, the layout for each level changes too. Later on in the game the levels get harder and harder and it would be nice to have a set-in-stone way to beat each level rather than getting lucky some day. Rovio has made a shuffle deck feature to change this problem but even then you have to rely on luck. (This next one is gonna trigger me the most) Remember in angry birds 1 when you got to retry a level as many times as you needed? Well now you only get five tries and when you run out, you have to wait about 25 minutes to get one try and for all the retries, you have to wait an hour or 2. overall, angry birds 2 has more bad thing than good, but there are small good things that are just outweighed by the bad things. I’m not gonna discourage you from getting this game, you just might want to take this review as a warning. And Rovio, if you’re listening to this, please fix the retry system.",2,False,yuououiuoyhgghhuffxwggcfh,"Good game, has its moments…",
6,2020-01-04 05:36:22,"Angry birds 2 has got a fresh polish to be expected from a sequel. It answers the “how can we possibly make a great game better?” question in several ways. The graphics are rich and flow smoothly between all transitions. The levels evolve and progress in difficulty but encourage you to think critically and creatively. Defeating level after level is rewarding and builds you up for the next level. The multiplayer modes involving clans and competitive mode pit you against worthy opponents. 
Word of caution however, as there are the downsides. The app has its own pop-up encouraging you to buy into their in-app purchases. At my peak time in playing this game on a daily basis the app will encourage their in-app purchases around once an hour. What’s more is the ever-so-bothersome littering of advertisements of other games. The game even has an auto-jump to the App Store to encourage you to download another game app. While this is expected of less polished games this is rather a surprise of an established brand to have to use such tactics. Lastly, the levels do get repetitive and the “boss” battles lose their luster and become some sort of a sore level after awhile. 
Overall, if you don’t mind the ads and are in it to really squash those pigs then this is the right game to play. Swing away at a 3 out of 5 game.",3,False,josalv,IAP-Hungry Solid Sequel,
7,2020-05-08 15:09:49,"There are glitches in this game that don’t get addressed. I did not receive feathers and apples. I contacted their help team on April 7th, April 14th, April 15th, and April 22nd. I just got a reply this morning, on May 8th, telling me to update my app and let them know if I was having any of these issues. Umm... the app requires you to update before you can get into it, so of course I updated. I wrote to you on multiple occasions about issues and you still want to know if this is happening? How about you figure it out and replenish feathers and apples I missed out on and move on. I have screenshots of the messages as well to prove this. 

I am about to delete this app, immediately after I write this review. This franchise has movie revenue, toy revenue, and this game with ad revenue. Their prices are ridiculously inflated, you have to watch ads even after you have spent money on the game, and they are too stingy to replenish 1,000 feathers. Like, really? Rovio is proving to be one of the greediest developers out there. I get trying to make money, but being greedy after you’ve already made a ton is so disappointing to see.

Maybe you should learn from other apps during this time who are awarding their players with extra freebies and not inundating them with ads and pop ups. I think I’ll go play one of those games... and I will gladly give any extra money I decide to spend to them.",1,False,jechick,Players: beware,
8,2023-02-12 00:03:43,"As a person who was born in 2010 which was the peak of angrybirds I obviously have nostalgia. Since I was younger I played all the angry birds games, Angry Birds 1, That one Angry Birds RPG, Angry Birds Star Wars, Bad Piggies and the list goes on. When I got my new iPad at the age of 10 Angry Birds 2 was one of the first games I got and it’s my favorite mobile game which may seem kinda weird judging that my favorite console game is Dark Souls. Now I’m 12 and I still love the game being that I was playing it before the notification to write a review came on. The pvp is amazing, the new features such as breeding are also cool, the level design in intuitive and the addition of bosses only makes gameplay better. The new birds are also cool same with the level up systems, upgrades, hats and more. The mechanic where you can get an extra bird card if you do good is also cool. I think this is peak ab andI think Rovio nailed it. My only feedback would be if you could add some characters from the angrybirds show. Also later on the gameplay is kinda repetitive so like perks and builds for birds could also be sick but that’s about it.",5,False,UndeadKobold,Absolutely Amazing,
9,2021-09-17 06:16:08,"Overall, if you’ve played any other angry birds games, you’ll get the generally same vibe here.  It’s fun, a nice way to kill some time, and the animations and graphics are beautiful.  But if you’ve ever played Mario Kart and know the general angry feeling you get when no matter what you do (or how skilled you are), the game just cheats to get the result it wants? Yup, get used to that here.  For example, in battle arena you’ll be pitted against various other “people” (in reality it’s not so, just the computer). And perhaps you’ll be winning the round, when all of a sudden it gives your opponent 2-3 more birds to play than it gave you.  There is no way you can win, but don’t fret, you can always buy some coins to try again.  Another gripe: The levels change often, so if you’re stuck on one (and maybe want to try a different strategy to get through) the next time you play it changes. Not completely, and there seems to be only a few options for each level, but again, infuriating.  Get used to watching ads too, as you’ll be bombarded constantly.  I miss the old angry birds games, where you’d pay a few bucks and the game was just that. It’s too bad this company would rather milk their customers than entertain them.",2,False,Johninpdx,"Mostly fun, but you’ll be angry (pun intended) at the game",
